timestamp,temp_ampent,temp_object,pressure,humidity,gas_res,nh3_raw,co_raw,co2,Tvoc,no2_raw
,32.570,59.330,1007.000,25.499,5717.000,23.000,34.000,2345,1452,27.000
,32.370,58.130,1007.000,23.698,7900.000,19.000,23.000,2794,2421,19.000
,32.150,58.490,1007.000,24.246,14894.000,20.000,17.000,2920,2679,17.000
,31.910,58.230,1007.000,22.624,12948.000,15.000,17.000,2355,1467,21.000
,31.750,58.350,1007.000,25.331,12275.000,22.000,23.000,20083,29206,22.000
,31.730,58.070,1007.000,29.223,5382.000,21.000,19.000,10713,19330,22.000
,31.770,58.290,1007.000,30.729,12682.000,16.000,6.000,2318,1399,16.000
,31.510,58.070,1007.000,24.694,15945.000,23.000,22.000,3395,3707,25.000
,31.330,58.310,1007.000,23.356,20931.000,26.000,32.000,3360,3624,22.000
,31.250,58.350,1007.000,25.242,14563.000,19.000,13.000,3893,4782,21.000
,31.250,58.030,1007.000,29.019,10109.000,19.000,0.000,7304,12047,17.000
,31.290,57.830,1007.000,32.334,11419.000,16.000,16.000,16915,29206,16.000
,31.070,57.670,1007.000,29.262,10257.000,27.000,16.000,11086,20172,23.000
,30.630,56.610,1007.000,26.167,18085.000,26.000,41.000,6490,10325,26.000
,30.270,57.810,1007.000,25.700,12644.000,18.000,16.000,7467,12406,22.000
,30.310,58.810,1007.000,29.746,11583.000,24.000,16.000,5842,8922,21.000
,30.330,58.030,1007.000,30.594,6327.000,13.000,13.000,16915,29206,18.000
,30.310,56.890,1007.000,33.807,10338.000,16.000,7.000,13657,25658,16.000
,30.150,58.590,1007.000,29.693,11609.000,20.000,10.000,17386,29206,16.000
,30.190,57.670,1007.000,32.509,13036.000,18.000,22.000,6909,11202,20.000
,29.970,56.650,1007.000,26.615,7494.000,23.000,5.000,7914,13386,19.000
,29.890,57.990,1007.000,30.513,12861.000,18.000,0.000,5842,8922,16.000
,30.030,57.130,1007.000,30.560,18697.000,21.000,28.000,3031,2915,22.000
,30.090,58.110,1007.000,27.898,13497.000,18.000,0.000,25744,29206,16.000
,30.190,57.870,1007.000,33.983,3422.000,18.000,15.000,4120,5241,16.000
,30.410,58.850,1007.000,32.493,9680.000,20.000,16.000,3232,3347,16.000
,30.570,57.750,1007.000,27.849,5236.000,16.000,0.000,2492,1763,17.000
,30.450,56.750,1007.000,25.439,12239.000,17.000,0.000,10362,18581,22.000
,30.470,57.110,1007.000,29.749,11176.000,28.000,32.000,3216,3305,23.000
